university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
LMU - University of Munich,"Biology (State Examination)
                                                            Teaching",3.5,,Winter semester,State examination,German English,,Munich,https://www.studycheck.de/studium/biologie/lmu-muenchen-26603
LMU - University of Munich,Buchwissenschaft (B.A.),3.2,,,,,,,https://www.studycheck.de/studium/buchwissenschaft/lmu-muenchen-4799
LMU - University of Munich,Book Studies: Book and Media Research (MA),3.6,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/buchwissenschaft/lmu-muenchen-10669
LMU - University of Munich,Book Science: Publishing Practice (MA),3.3,4 semesters,Summer & winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/buchwissenschaft/lmu-muenchen-10612
LMU - University of Munich,Buddhist and South Asian Studies (BA),,6 semesters,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/buddhistische-studien/lmu-muenchen-4731
LMU - University of Munich,Byzantine Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/byzantinistik/lmu-muenchen-10666
LMU - University of Munich,Chemistry (M.Sc.),3.6,4 semesters,Summer & winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/chemie/lmu-muenchen-590
LMU - University of Munich,"Chemistry (State Examination)
                                                            Teaching",,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/chemie/lmu-muenchen-16993
LMU - University of Munich,Chemistry and Biochemistry (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German,,Munich,https://www.studycheck.de/studium/chemie/lmu-muenchen-12758
LMU - University of Munich,Classical Studies (BA),3.8,6 semesters,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/klassikstudien/lmu-muenchen-23414
LMU - University of Munich,Computational Linguistics (B.Sc.),3.5,6 semesters,Winter semester,Bachelor of Science,German,,Munich,https://www.studycheck.de/studium/computerlinguistik/lmu-muenchen-4777
LMU - University of Munich,Computational Linguistics (M.Sc.),3.0,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/computerlinguistik/lmu-muenchen-10613
LMU - University of Munich,Cultural and Cognitive Linguistics (MA),4.5,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/cultural-and-cognitive-linguistics/lmu-muenchen-10670
LMU - University of Munich,Data Science (M.Sc.),3.7,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/datenwissenschaft/lmu-muenchen-25017
LMU - University of Munich,"German (State Examination)
                                                            Teaching",3.7,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/deutsch/lmu-muenchen-26604
LMU - University of Munich,German as a Foreign Language (BA),3.7,,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/deutsch-als-fremdsprache/lmu-muenchen-15605
LMU - University of Munich,German as a Foreign Language (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/deutsch-als-fremdsprache/lmu-muenchen-694
LMU - University of Munich,"German as a second language (state examination)
                                                            Teaching",3.8,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/deutsch-als-fremd-und-zweitsprache/lmu-muenchen-16995
LMU - University of Munich,Digital Humanities - Linguistics (Bachelor),,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/digital-humanities/lmu-muenchen-23178
LMU - University of Munich,Economics (M.Sc.),3.8,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/economics/lmu-muenchen-9388
LMU - University of Munich,Empirical Cultural Studies and European Ethnology (BA),3.9,6 semesters,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/kulturwissenschaft/lmu-muenchen-23381
LMU - University of Munich,Empirical Cultural Studies and European Ethnology (MA),3.9,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/kulturwissenschaft/lmu-muenchen-23382
LMU - University of Munich,"English (State Examination)
                                                            Teaching",3.7,,Winter semester,State examination,German English,,Munich,https://www.studycheck.de/studium/englisch/lmu-muenchen-16996
LMU - University of Munich,English Studies (MA),3.6,4 semesters,Winter semester,Master of Arts,English,,Munich,https://www.studycheck.de/studium/english-studies/lmu-muenchen-10615
LMU - University of Munich,Environment and Society (MA),,4 semesters,Winter semester,Master of Arts,German English,,Munich,https://www.studycheck.de/studium/gesellschaft-und-kulturen-der-moderne/lmu-muenchen-31349
LMU - University of Munich,Epidemiologie (M.Sc.),2.6,,,,,,,https://www.studycheck.de/studium/epidemiologie/lmu-muenchen-7847
LMU - University of Munich,"Ethics (State Examination)
                                                            Teaching",,7 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/ethik/lmu-muenchen-26632
LMU - University of Munich,Ethnology (BA),4.2,6 semesters,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/ethnologie/lmu-muenchen-4733
LMU - University of Munich,Ethnology (MA),4.6,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/ethnologie/lmu-muenchen-16999
LMU - University of Munich,"Protestant Religious Education (State Examination)
                                                            Teaching",,7 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/evangelische-religion/lmu-muenchen-26605
LMU - University of Munich,Protestant Theology (Bachelor),,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/evangelische-theologie/lmu-muenchen-23431
LMU - University of Munich,Protestant Theology (Church Degree),4.2,10 semesters,Summer & winter semester,Church graduation,German,,Munich,https://www.studycheck.de/studium/evangelische-theologie/lmu-muenchen-4454
LMU - University of Munich,Protestant Theology (Master),3.7,10 semesters,Summer & winter semester,Master,German,,Munich,https://www.studycheck.de/studium/evangelische-theologie/lmu-muenchen-535
LMU - University of Munich,"Evolution, Ecology and Systematics (M.Sc.)",3.7,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/evolution-ecology-and-systematics/lmu-muenchen-7101
LMU - University of Munich,Experimental Physics (Bachelor),,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/physik/lmu-muenchen-23461
LMU - University of Munich,Film and Media Culture Research (MA),3.9,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/filmwissenschaft/lmu-muenchen-25018
LMU - University of Munich,Financial and Insurance Mathematics (M.Sc.),3.1,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/finanzmathematik/lmu-muenchen-19801
LMU - University of Munich,Finno-Ugric Studies (BA),4.5,6 semesters,Winter semester,Bachelor of Arts,"German, Finnish",,Munich,https://www.studycheck.de/studium/finnougristik/lmu-muenchen-4780
LMU - University of Munich,Finno-Ugric Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/finnougristik/lmu-muenchen-10616
LMU - University of Munich,"French (State Examination)
                                                            Teaching",3.0,,Winter semester,State examination,"German, French",,Munich,https://www.studycheck.de/studium/franzoesisch/lmu-muenchen-26606
LMU - University of Munich,"Fremdsprachliche Qualifikation (Staatsexamen)
                                                            Lehramt",,,,,,,,https://www.studycheck.de/studium/moderne-fremdsprachen/lmu-muenchen-26633
LMU - University of Munich,"Deaf Education (State Examination)
                                                            Teaching",,7 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/sonderpaedagogik/lmu-muenchen-26634
LMU - University of Munich,"Education for the mentally handicapped (state examination)
                                                            Teaching",4.0,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/sonderpaedagogik/lmu-muenchen-26635
LMU - University of Munich,Geobiology and Paleobiology (M.Sc.),,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/biologie/lmu-muenchen-19789
LMU - University of Munich,Geography (B.Sc.),3.9,,Winter semester,Bachelor of Science,German,,Munich,https://www.studycheck.de/studium/geographie/lmu-muenchen-4030
LMU - University of Munich,"Geography (State Examination)
                                                            Teaching",3.5,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/geographie/lmu-muenchen-24631
LMU - University of Munich,Geomaterials and Geochemistry (M.Sc.),3.6,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/materialwissenschaft/lmu-muenchen-25027
LMU - University of Munich,Geophysics (M.Sc.),,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: LMU - University of Munich, TUM - TU Munich",German,,Munich,https://www.studycheck.de/studium/geophysik/lmu-muenchen-7102
LMU - University of Munich,Geophysics (M.Sc.),,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/geophysik/lmu-muenchen-26577
LMU - University of Munich,Geophysics (Bachelor),4.1,6 semesters,Winter semester,Bachelor,German English,,Munich,https://www.studycheck.de/studium/geophysik/lmu-muenchen-23432
LMU - University of Munich,Germanistik (B.A.),3.6,,,,,,,https://www.studycheck.de/studium/germanistik/lmu-muenchen-15704
LMU - University of Munich,German Linguistics (MA),4.9,4 semesters,Summer & winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/germanistik/lmu-muenchen-10617
LMU - University of Munich,German Literature (MA),3.7,4 semesters,Summer & winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/germanistik/lmu-muenchen-10618
LMU - University of Munich,History (BA),4.1,,Summer & winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/geschichte/lmu-muenchen-15700
LMU - University of Munich,History (MA),4.2,4 semesters,Summer & winter semester,Master of Arts,German English,,Munich,https://www.studycheck.de/studium/geschichte/lmu-muenchen-10588
LMU - University of Munich,"History (State Examination)
                                                            Teaching",3.8,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/geschichte/lmu-muenchen-17002
LMU - University of Munich,"Greek (State Examination)
                                                            Teaching",,9 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/griechisch/lmu-muenchen-26636
LMU - University of Munich,Greek Philology (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,"German, Greek",,Munich,https://www.studycheck.de/studium/griechische-philologie/lmu-muenchen-4778
LMU - University of Munich,Greek Philology (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/griechische-philologie/lmu-muenchen-10619
LMU - University of Munich,Greek Studies (BA),3.1,6 semesters,Winter semester,Bachelor of Arts,"German, Greek",,Munich,https://www.studycheck.de/studium/griechisch/lmu-muenchen-4779
LMU - University of Munich,"Primary school teaching (state examination)
                                                            Teaching",3.6,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/grundschuldidaktik/lmu-muenchen-26637
LMU - University of Munich,Historical and General Linguistics (BA),4.4,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/historisch-vergleichende-sprachwissenschaft/lmu-muenchen-25014
LMU - University of Munich,Human Biology - Principles of Health and Disease (M.Sc.),4.5,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/humanbiologie/lmu-muenchen-26578
LMU - University of Munich,"Human Geography and Sustainability: Monitoring, Modeling and Management (M.Sc.)",3.5,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/humangeographie/lmu-muenchen-19788
LMU - University of Munich,Computer Science (Bachelor),3.9,,Winter semester,Bachelor,German English,,Munich,https://www.studycheck.de/studium/informatik/lmu-muenchen-14840
LMU - University of Munich,Computer Science (M.Sc.),3.9,,Summer & winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/informatik/lmu-muenchen-196
LMU - University of Munich,"Computer Science (State Examination)
                                                            Teaching",3.7,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/informatik/lmu-muenchen-26638
LMU - University of Munich,Computer Science with integrated application subject (B.Sc.),3.1,6 semesters,Winter semester,Bachelor of Science,German English,,Munich,https://www.studycheck.de/studium/informatik/lmu-muenchen-30726
LMU - University of Munich,Insurance (Master),,4 semesters,Winter semester,master,English,"28,500 €¹",Munich,https://www.studycheck.de/studium/insurance-and-finance/lmu-muenchen-7100
LMU - University of Munich,Intercultural Communication (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/interkulturelle-kommunikation/lmu-muenchen-9754
LMU - University of Munich,International Health (M.Sc.),,2 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/international-health/lmu-muenchen-26590
LMU - University of Munich,International Public Relations (MA),3.7,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/public-relations/lmu-muenchen-19792
LMU - University of Munich,Italian Studies (BA),4.2,6 semesters,Winter semester,Bachelor of Arts,"German, Italian",,Munich,https://www.studycheck.de/studium/italianistik/lmu-muenchen-15703
LMU - University of Munich,"Italian (State Examination)
                                                            Teaching",,9 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/italienisch/lmu-muenchen-26640
LMU - University of Munich,Italian Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/italianistik/lmu-muenchen-10621
LMU - University of Munich,Japanese Studies (BA),4.2,6 semesters,Winter semester,Bachelor of Arts,"German, Japanese",,Munich,https://www.studycheck.de/studium/japanologie/lmu-muenchen-4730
LMU - University of Munich,Japanese Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/japanologie/lmu-muenchen-10604
LMU - University of Munich,"Journalism, Media and Globalization (MA)",,4 semesters,Winter semester,Master of Arts,English,,Munich,https://www.studycheck.de/studium/journalismus/lmu-muenchen-32790
LMU - University of Munich,Journalism (MA),4.7,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/journalismus/lmu-muenchen-8009
LMU - University of Munich,Canon Law (Licentiate),,6 semesters,Summer & winter semester,Licentiate,German,,Munich,https://www.studycheck.de/studium/recht/lmu-muenchen-19794
LMU - University of Munich,"Catholic Religious Education (State Examination)
                                                            Teaching",3.6,7 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/katholische-religion/lmu-muenchen-17003
LMU - University of Munich,Catholic Theology (Bachelor),,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/katholische-theologie/lmu-muenchen-26559
LMU - University of Munich,Catholic Theology (Licentiate),,10 semesters,Summer & winter semester,Licentiate,German,,Munich,https://www.studycheck.de/studium/katholische-theologie/lmu-muenchen-26663
LMU - University of Munich,Catholic Theology (Master),3.8,10 semesters,Winter semester,Master,German,,Munich,https://www.studycheck.de/studium/katholische-theologie/lmu-muenchen-26664
LMU - University of Munich,Classical Archaeology (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/archaeologie/lmu-muenchen-10605
LMU - University of Munich,Communication Science (BA),3.9,,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/kommunikationswissenschaften/lmu-muenchen-12893
LMU - University of Munich,Communication Science (MA),3.8,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/kommunikationswissenschaften/lmu-muenchen-7112
LMU - University of Munich,"Art (State Examination)
                                                            Teaching",,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/kunst/lmu-muenchen-26641
LMU - University of Munich,Art and Multimedia (BA),3.9,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/kunst-und-multimedia/lmu-muenchen-4029
LMU - University of Munich,"Art, Music, Theatre (Bachelor)",2.3,6 semesters,Summer & winter semester,Bachelor,German English,,Munich,https://www.studycheck.de/studium/kunstwissenschaft/lmu-muenchen-26560
LMU - University of Munich,Art History (BA),3.6,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/kunstgeschichte/lmu-muenchen-4737
LMU - University of Munich,Art History (MA),4.1,4 semesters,Summer & winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/kunstgeschichte/lmu-muenchen-10589
LMU - University of Munich,Artificial Intelligence (Bachelor),,,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/kuenstliche-intelligenz/lmu-muenchen-32791
LMU - University of Munich,Art Education (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/kunst-und-kunstpaedagogik/lmu-muenchen-4798
LMU - University of Munich,"Latin (State Examination)
                                                            Teaching",3.7,9 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/latein/lmu-muenchen-26642
LMU - University of Munich,Latin Philology (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/latinistik/lmu-muenchen-10620
LMU - University of Munich,Latin Studies (BA),4.0,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/latinistik/lmu-muenchen-15701
LMU - University of Munich,"Special Education for the Learningly Disabled (State Examination)
                                                            Teaching",,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/sonderpaedagogik/lmu-muenchen-21886
LMU - University of Munich,Literary Translation (MA),3.5,2 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/literaturuebersetzen/lmu-muenchen-26591
LMU - University of Munich,Logic and Philosophy of Science (MA),,4 semesters,Winter semester,Master of Arts,English,,Munich,https://www.studycheck.de/studium/logic-and-philosophy-of-science/lmu-muenchen-10592
LMU - University of Munich,Management - European Triple Degree (M.Sc.),4.6,4 semesters,Winter semester,Master of Science,English,"40,000 €¹",Munich,https://www.studycheck.de/studium/management/lmu-muenchen-7849
LMU - University of Munich,Management - International Triple Degree (M.Sc.),,4 semesters,Winter semester,Master of Science,English,,"Munich, New Orleans, Paris",https://www.studycheck.de/studium/management/lmu-muenchen-26086
LMU - University of Munich,Management and Digital Technologies (MMT) (M.Sc.),4.2,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/kommunikation-und-medienmanagement/lmu-muenchen-25028
LMU - University of Munich,Mathematik (B.Sc.),3.5,,,,,,,https://www.studycheck.de/studium/mathematik/lmu-muenchen-14839
LMU - University of Munich,Mathematics (M.Sc.),3.3,4 semesters,Summer & winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/mathematik/lmu-muenchen-9393
LMU - University of Munich,"Mathematics (State Examination)
                                                            Teaching",4.1,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/mathematik/lmu-muenchen-22349
LMU - University of Munich,Media Informatics (Bachelor),3.7,,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/medieninformatik/lmu-muenchen-14838
LMU - University of Munich,Media Informatics (M.Sc.),4.4,4 semesters,Summer & winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/medieninformatik/lmu-muenchen-9392
LMU - University of Munich,Media Informatics with Application in Media Economics (M.Sc.),4.4,4 semesters,Summer & winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/medieninformatik/lmu-muenchen-9389
LMU - University of Munich,"Media education (state examination)
                                                            Teaching",5.0,7 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/medienpaedagogik/lmu-muenchen-26644
LMU - University of Munich,Medicine (State Examination),4.0,12 semesters,Winter semester,"State examination
                                                                    Degree is awarded by: LMU - University of Munich, TUM - TU Munich",German,,Munich,https://www.studycheck.de/studium/medizin/lmu-muenchen-12035
LMU - University of Munich,Human-Computer Interaction (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/mensch-computer-interaktion/lmu-muenchen-10628
LMU - University of Munich,Meteorology (Bachelor),,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/meteorologie/lmu-muenchen-23459
LMU - University of Munich,Meteorology (M.Sc.),4.2,4 semesters,Summer & winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/meteorologie/lmu-muenchen-8715
LMU - University of Munich,Medieval and Renaissance Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/mittelalter-und-renaissancestudien/lmu-muenchen-10663
LMU - University of Munich,"Secondary school didactics (state examination)
                                                            Teaching",,7 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/hauptschuldidaktik/lmu-muenchen-26645
LMU - University of Munich,Molecular and Cellular Biology (M.Sc.),4.1,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/cellular-and-molecular-neuroscience/lmu-muenchen-25015
LMU - University of Munich,"Music (State Examination)
                                                            Teaching",,7 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/musik/lmu-muenchen-26646
LMU - University of Munich,Music Education (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/musikpaedagogik/lmu-muenchen-10590
LMU - University of Munich,Musicology (BA),4.0,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/musikwissenschaft/lmu-muenchen-4769
LMU - University of Munich,Musicology (MA),3.6,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/musikwissenschaft/lmu-muenchen-235
LMU - University of Munich,Middle East (BA),3.8,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/nahoststudien/lmu-muenchen-4831
LMU - University of Munich,Middle East (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/nahoststudien/lmu-muenchen-10606
LMU - University of Munich,Modern Greek Studies (MA),5.0,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/neograezistik/lmu-muenchen-10607
LMU - University of Munich,Neuro-cognitive Psychology (M.Sc.),4.7,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/psychologie/lmu-muenchen-15357
LMU - University of Munich,Neurosciences (M.Sc.),2.7,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/neurowissenschaften/lmu-muenchen-134
LMU - University of Munich,Nordamerikastudien (B.A.),3.6,,,,,,,https://www.studycheck.de/studium/amerikanistik-american-studies/lmu-muenchen-15651
LMU - University of Munich,Orthodox Theology (Bachelor),,6 semesters,Summer & winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/orthodoxe-theologie/lmu-muenchen-23460
LMU - University of Munich,Orthodox Theology (Diploma),4.5,9 semesters,Summer & winter semester,diploma,German,,Munich,https://www.studycheck.de/studium/orthodoxe-theologie/lmu-muenchen-5469
LMU - University of Munich,Eastern European Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/osteuropastudien/lmu-muenchen-96
LMU - University of Munich,Pedagogy / Educational Science (Bachelor),3.6,,Winter semester,Bachelor,German English,,Munich,https://www.studycheck.de/studium/paedagogik/lmu-muenchen-4276
LMU - University of Munich,"Pedagogy for Autism Spectrum Disorders (State Examination)
                                                            Teaching",,7 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/sonderpaedagogik/lmu-muenchen-26647
LMU - University of Munich,"Pedagogy for behavioral disorders (state examination)
                                                            Teaching",,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/sonderpaedagogik/lmu-muenchen-21887
LMU - University of Munich,Pedagogy with a focus on educational research and educational management (MA),3.5,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/paedagogik/lmu-muenchen-10209
LMU - University of Munich,Pharmaceutical Sciences (B.Sc.),3.6,6 semesters,Winter semester,Bachelor of Science,German English,,Munich,https://www.studycheck.de/studium/arzneimittelwissenschaften/lmu-muenchen-13308
LMU - University of Munich,Pharmaceutical Sciences (M.Sc.),4.2,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/arzneimittelwissenschaften/lmu-muenchen-972
LMU - University of Munich,Pharmacy (State Examination),3.7,8 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/pharmazie/lmu-muenchen-14595
LMU - University of Munich,Philosophy (Bachelor),3.9,,Winter semester,Bachelor,German English,,Munich,https://www.studycheck.de/studium/philosophie/lmu-muenchen-878
