name,logo,web_url,description,High school type,address,phone,email
Flensburg University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-flensburg/hs-flensburg_rectangle1.png,https://hs-flensburg.de/?mtm_campaign=studycheck.de&mtm_kwd=bewerbung&mtm_source=portal&mtm_medium=info&mtm_content=info&mtm_cid=3&mtm_group=2,"Very close - to our Students, The Country's Companies and the People of the Region.Far Ahead-With Practice-Oriented Courses and Innovative Teaching Methods, Current Research Questions and a Broad Network of International Partners. In addition to “Classics” such as business administration and mechanical engineering, our professors teach the latest developments in food technology, produce animated filmshow to formulate and translate the perfect operating instructions.The Flensburg University of Applied Sciences holds ten Bachelor and eight master's programs in the specialist clusters of computer science, engineering, economics and language sciences. In many projects we combine teaching and research.Our research centers in the field of maritime, renewable energies or medium -sized business research are the link between students and their future employers.",State university,Hochschule Flensburg Kanzleistraße 91-93 24943 Flensburg,+49 (0)461 801-01,infopoint@hs-flensburg.de
Pop Academy Baden-Württemberg,https://static.studycheck.de/media/images/institute_logos/rectangle/popaka-bawue/popakademie_Logo_rectangle.png,https://www.popakademie.de/de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Popakademie Baden-Württemberg is the only state university institution in Germany that focuses on its courses specifically on the areas of popular music & creative industries. As a university and competence center, we offer ambitious artists and young managers a platform to further develop and to develop their potentialdevelop.We are not only concerned with the imparting of knowledge and skills, but at the same time the development of personalities in your individual identity.Numerous successful careers of music and creative workers were justified here. In addition to their function as a university institution, the pop academy as a competence center realizes numerous projects in the areas of European cooperation, regional development and business development at the media location in Baden-Württemberg.",State university,Popakademie Baden-Württemberg Hafenstr. 33 68159 Mannheim,+49 (0)621 53397200,info@popakademie.de
CODE University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/code/code.jpg,https://www.code.berlin/de?utm_source=Studycheck&utm_medium=Ad&utm_content=main_page,"The Code University of Applied Sciences is the university for the digital pioneers of tomorrow. They are supported by the largest German tech and internet companies and is closely linked to the start-up scene.The scientific advisory board and an extraordinary didactic concept guarantee a balanced combination of theory, practice and realistic learning experiences for students. The code is a lively center of the young talent of which origin and what background learns together and from each other.The need for software developers, designers and digital entrepreneurs as driving for digitization and comprises the three courses of software engineering, interaction design and product management.",Private university,CODE University of Applied Sciences Lohmühlenstr. 65 12435 Berlin,+49 (0)301 2085961,zulassungen@code.berlin
Uni Mainz,https://static.studycheck.de/media/images/institute_logos/rectangle/uni-mainz/uni-mainz.jpg,,"With over 31,000 students from over 130 nations, the Johannes Gutenberg University Mainz (JGU) is one of the ten largest universities in Germany.As the only full university in the state of Rhineland-Palatinate, it combines almost all academic disciplines, including university medicine Mainz and two artistic universities, under one roof- a unique integration in the German university landscape. With 84 study subjects with a total of 219 courses, including 95 Bachelor and 101 Master coursesAs well as 6 additional, construction and expansion courses, the JGU offers an exceptionally wide range of study opportunities.Around 4,150 scientists, including 540 professors, teachings and research in more than 150 institutes and clinics.",State University,Uni Mainz Saarstraße 21 55122 Mainz,,
Justus Liebig University Giessen,https://static.studycheck.de/media/images/institute_logos/rectangle/uni-giessen/uni-giessen.jpg,http://uni-giessen.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"With 25,700 students, the JLU Gießen is the second largest university in the state of Hesse.Since it was founded as Ludovicianca over 400 years ago, the JLU has gone pulses in research, teaching and knowledge transfer - a tradition of innovation that the JLU “new ways.Since 1607 ”.Inspired by your namesake, the chemist, professor and publicist Justus Liebig, it is part of the self -image of the university to combine outstanding achievements in research and teaching with a clear commitment to your social responsibility.This claim is still trend -setting for the JLU.Gießen is the unistadt par excellence.In no other university city is the per capita content of students so high.A lively music and art scene, countless sports and leisure activities and, last but not least, the proximity to the metropolis of Frankfurt am Main: Gießen offers an environment that is characterized by academic freedom, tolerance and openness to the cosmopolitan.",State University,Justus-Liebig-Universität Gießen Ludwigstraße 23 35390 Gießen,,
University of Music and Dance Cologne,https://static.studycheck.de/media/images/institute_logos/rectangle/hfmt-koeln/hfmt-koeln_rectangle.jpg,,"The University of Music and Dance Cologne is one of the largest music academies in Europe. The three locations contribute to the profile education of the university in a special way.At the Aachen location, the University of Music and Dance Cologne, among other things, makes an important contribution to the master's degree in Opera / Musiktheater as part of the “Rheinische Opernakademie”.At the Wuppertal location, a profiled further development of the focus of music education is planned, which is characterized by a diverse music educational cooperation network and by numerous specifics (such as the only professorship for mandolin in Europe). The location of Cologne shows the most extensive and densely artistic, pedagogical and scientific courses.",State university,Hochschule für Musik und Tanz Köln Unter Krahnenbäumen 87 50668 Köln,,
HfMDK - University of Music and Performing Arts Frankfurt am Main,https://static.studycheck.de/media/images/institute_logos/rectangle/hfmdk-ffm/hfmdk-ffm_rectangle.png,,"The University of Music and Performing Art (Hfmdk) Frankfurt am Main is Hesse's only University of Music, Theater and Dance.It forms instrumentalists and music teachers, singers, composers and conductors, dancers, directors and actors.65 professors and 320 lecturers teach around 900 students. The three focus of the development of the University of Music and Performing Art Frankfurt am Main are the excellence of teaching, networking the university and the takeover of social responsibility. With around two hundred public concerts and events a yearHFMDK significant artistic impulses and is a strong location factor for the city of Frankfurt and the Rhein-Main region.",State university,HfMDK - Hochschule für Musik und Darstellende Kunst Frankfurt am Main Eschersheimer Landstraße 29-39 60322 Frankfurt am Main,,
HCU - HafenCity University Hamburg,https://static.studycheck.de/media/images/institute_logos/rectangle/hcu-hamburg/637b592db853e_hcu-logo-de-rgb-blau.png,,"The Hafencity University Hamburg - University of Architecture and Metropolitan Development (HCU Hamburg) - Was Founded by the Free and Hanseatic City of Hamburg on January 1, 2006 as a Merger of Four Departments From Three Hamburg Universities.it is the only University in Europea topic on construction and metropolitan development.The HCU Therefore Offers the Entire Range of Disciplines Aimed AT Understanding and Designing The Urban Environment: Architecture, Civil Engineering, Geodesy and Geoinformatics, Urban Planning - Each AS A Bachelor's Degree With a Consecutive Master's degree;Culture of the Metropolis - AS A Bachelor's Degree;Urban Design and Resource Efficiency in Architecture and Planning (Reap) - AS overarching Master's Program.",,HCU - HafenCity Universität Hamburg Henning-Voscherau-Platz 1 20457 Hamburg,,
Hamburg Police Academy,https://static.studycheck.de/media/images/institute_logos/rectangle/akapol-hamburg/akapol-hamburg.jpg,,,,Akademie der Polizei Hamburg Carl-Cohn-Straße 39 22297 Hamburg,,
"mAHS, media academy - Stuttgart University",https://static.studycheck.de/media/images/institute_logos/rectangle/mahs/mahs.jpg,,"The Mahs, Media Academy-Stuttgart University is a State-Recognized University.It trains specialists in media and design.in small study groups, Students Receive Individual and Personal Support and are prepared for everyday working life in a very practice way.The Teaching Staff Consists of Professors and Experience Lecturers Who Come from the Creative Industries.Whether Animation Design, Game Design Or Industrial Design-From Here, Future Graduates Start Successful Entrepreneurial and Academic Careers With State-Recognized Bachelor of Arts Degrees.",,"mAHS, media Akademie - Hochschule Stuttgart Tübinger Straße 12-16 70178 Stuttgart",,
State University of Music Trossingen,https://static.studycheck.de/media/images/institute_logos/rectangle/hfm-trossingen/hfm-trossingen1.png,,"The State University of Music Offers Its Students The Traditional Range of Subjects.Other Focal Points are the Study of Early Music and Artistic Training in Music and Movement (Rhythm) .in 2005, The Trossingen University Founded the ""Musikakademie Villingen-Schwenningen GGmbH"", A Future Model for Musical Education.Most Recently, The Rhythm Department was Awarded the ""Inventio 2005"" for Particularly Innovative Training.The Broadening Subject ""Popular Music and Jazz"" in the School Music Course is so offered to students at other universities in the state.",,Staatliche Hochschule für Musik Trossingen Schultheiß-Koch-Platz 3 78647 Trossingen,,
International University SDI Munich,https://static.studycheck.de/media/images/institute_logos/rectangle/sdi-muenchen/sdi_rectangle.png,https://www.sdi-muenchen.de/hochschule/ueber-uns?utm_source=studycheck&utm_medium=contact-link&utm_campaign=hochschule,"The International University Sdi Munich is a Specialist in Intercultural Communication and Offers State-Recognized and Accredited Bachelor's and Master's Degree Programs in Business, Communication, Digital Media and Language.All of our Master's Degree Programs ARE Accredited for Access to the Higher Service.The Study Conditions at a Private University Guarantee Small Study Groups and Intensive Support from Professors and Lecturers with Practical Experience.The SDI Munich International University is Characterized by an International Atmosphere and Has Worldwide Cooperations and Contacts.This means that you can gain value practice and international experience while you are studying.",,Internationale Hochschule SDI München Baierbrunner Straße 28 81379 München,+49 (0)89 288102-0,info@sdi-muenchen.de
University of Salzburg,https://static.studycheck.de/media/images/institute_logos/rectangle/uni-salzburg/uni-salzburg_Logo_rectangle_250x85.png,https://www.plus.ac.at/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Paris Lodron University Salzburg Plus is the Largest Educational Institution in Salzburg with Almost 18,000 Students and Around 3,000 Employees in Research, Teaching and Administration.As an integral part of cultural and economic life, it is a meeting place for teachers and students, science and the public.The name of our university, Paris Lodron, Reflects Its Foundation by Prince Archbishop Paris Lodron in 1622. Since the University of Salzburg was re-established in 1962, IT has Developed Into a Modern and Vibrant University. Many facilities of the Paris Lodron University are inArchitecturally attractive buildings in the old town of Salzburg housed.The modern university campus form the Faculty of Natural and Life in Free Saal and the Unipark Nonntal.Locations in Itzling and Rif as well as in Linz, Krems and Vienna complement the space.",State University,Uni Salzburg Kapitelgasse 4-6 5020 Salzburg,+43 (0)662 8044,plusdesk@plus.ac.at
Dresden University of Cooperative Education,https://static.studycheck.de/media/images/institute_logos/rectangle/ba-dresden/ba-dresden.jpg,http://www.ba-dresden.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"As a renowned state studies academy of the Saxony vocational academy, together with currently around 850 active recognized practice partners, we offer a dual degree that pays off! Students are completing a three -year scientific studies alternately between theory and practice.This makes it possible to apply what you have learned directly and to gain important experience in the future area of ​​responsibility.The studies are therefore not only organized, but also in terms of practice - it is practical. Another advantage: The partner company pays a training allowance of at least 440 euros and students are also employed in the company. After three intensive study yearsthe graduates receive an accredited bachelor's degree.Your career opportunities are excellent - agreed rates of around 90 percent speak for themselves immediately after studying.",State Academy,Berufsakademie Dresden Hans-Grundig-Str. 25 01307 Dresden,+49 (0)351 44722-0,info.dresden@ba-sachsen.de
HSBA - Hamburg School of Business Administration,https://static.studycheck.de/media/images/institute_logos/rectangle/hsba-hamburg/hsba_rectangle.png,https://www.hsba.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"At our modern campus in the heart of Hamburg, in cooperation with 300 selected partner companies, we offer internationally oriented dual bachelor and part-time master's programs in the field of business administration.All courses combine a practical business studies with simultaneous systematic training in the company and are independent of the financial background of the students. The HSBA stands for outstanding quality in teaching and research, excellent educational opportunities and best career opportunities.In addition, we offer a cooperative doctoral program, application -oriented research and tailor -made further training at university level. The HSBA is a state -recognized private university, which regularly achieves good results in Rankings.In 2018, the HSBA was also successfully systematic by the Foundation of International Business Administration Accreditation (FIBAA). Over 1000 students study at the HSBA.",Private university,HSBA - Hamburg School of Business Administration Willy-Brandt-Straße 75 20459 Hamburg,+49 (0)40 822160-900,info@hsba.de
MSH Medical School Hamburg,https://static.studycheck.de/media/images/institute_logos/rectangle/msh-hamburg/msh-hamburg.jpg,https://www.medicalschool-hamburg.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The MSH Medical School Hamburg - University of Applied Sciences and Medical University is a Private, State -Recognized University in the Free and Hanseatic City of Hamburg with Headquarters in the Modern Hafencity and a Campus at the Harburg Inner Harbor.It was founded in 2009 by the Managing Director Ilona Renken-Olthoff and Started in 2010 with Six degree programs.Since then, the Range of Courses Has Expanded to Include Numerous Bachelor's and Master's Degree Programs as Well as the State Examination Program in Human Medicine, which Are Successfully Accredited and Thus Guarantee the Highest Level of Quality and Transparency.",,MSH Medical School Hamburg Am Kaiserkai 1 20457 Hamburg,+49 (0)40 36122640,info@medicalschool-hamburg.de
OTH Amberg-Weiden,https://static.studycheck.de/media/images/institute_logos/rectangle/oth-aw/haw-aw.jpg,http://www.oth-aw.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"Small University, Big Offer: OTH Amberg-Weiden Offers Courses in Promising Industries.In the faculties EMI (Electrical Engineering, Media, Computer Science), MB/UT (Mechanical Engineering/Environmental Technology), WIG (Industrial Engineering and Health) and the Weiden Business School (Faculty of Business Administration) Sea over 50 Courses at Bachelor'sand Master's level.The Preperein Orientation Course Offers the Opportunity to Get A Taste of Courses and Find The Right Course. The students benefit from a high level of practical orientation, digital skills and interdisciplinary knowledge.After all, specialists of tomorrow must be able to think in a networked manner.",State university,OTH Amberg-Weiden Kaiser-Wilhelm-Ring 23 92224 Amberg,+49 (0)9621 482-0,amberg@oth-aw.de
Management Academy Heidelberg,https://static.studycheck.de/media/images/institute_logos/rectangle/mah/mah_rectangle.jpg,,"As a non-profit organization, with work with the Ludwigshafen University of Business and Society to Develop Part-Time Master's Degree Programs and Continuing Education Formats of the Highest Quality.In our Master's Degree Programs, We Combine Science and Business and Create to Ideal Combination of Theory and Practice to Prepare You As Best As Possible for Your Future Tasks and Responsibilities.The legal entity responsible for the degree programs is the Ludwigshafen University of Business and Society. We from the MAH Management Academy Heidelberg have been on the market for 13 years and, with our experienceStarting task areas. ""Our vision is to enable lifelong learning through a high quality, future -oriented educational offer, with the aim of the personal and professional development of people within society and for the benefit of the common good"".",Private university,Management Academy Heidelberg Rudolf-Diesel-Straße 11 69115 Heidelberg,,
University of Leoben,https://static.studycheck.de/media/images/institute_logos/rectangle/uni-leoben/uni-leoben.jpg,,"The Montan University Leoben is a Technical University and Austria's only University for Mining and Metallurgy.The Montanuniversität's Courses are based on the value chain, from raw materials to finished products and subsequent recycling.The Range of Course is Rounded Off by Interdisciplinary Courses Search AS Industrial Environmental Protection and Process Engineering and Industrial Logistics.",,Montanuniverstität Leoben Franz-Josef-Str. 18 8700 Leoben,,
DAA Business Academy,https://static.studycheck.de/media/images/institute_logos/rectangle/daa/daa.jpg,,"The DAA Wirtschaftsakademie is a non -profit school for economy with locations in Düsseldorf and Essen.Since 1974 our mission has been to promote the professional rise of our participants through high -quality and individual educational programs. Cooperations with German and English universities, Microsoft and SAP we offer business educational concepts that prepare in a contemporary preparation for the requirements of the labor market.Small classes, personal support and consistent practical orientation.",Private academy,DAA Wirtschaftsakademie Konrad-Adenauer-Platz 9 40210 Düsseldorf,,
Catholic University of North Rhine-Westphalia,https://static.studycheck.de/media/images/institute_logos/rectangle/katho-nrw/katho-nrw-rectagle_21.png,http://katho-nrw.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Catholic University of North Rhine-Westphalia (short: Katho) is Germany's largest state-recognized university in church sponsorship.In addition, with around 3,800 study places nationwide, it is one of the largest universities for the social work course.In studying at the Katho, knowledge, ability and attitude in the areas of work are conveyed in social affairs, health and applied theology.The Katho is a presence college where presence and online apprenticeship as well as the use of digital learning platforms are linked to each other.The Catholic denomination is not a prerequisite for studying at the Katho.",Church university,Katholische Hochschule Nordrhein-Westfalen Wörthstraße 10 50668 Köln,+49 (0)221 7757-0,info.koeln@katho-nrw.de
Brand University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/brand-uni/64ca0d5055233_bu-logo-quer.png,https://www.brand-university.de/,"Brand University of Applied Sciences is a state -recognized private university with a specialization in Europe unique in Europe.Located in Hamburg directly on the Elbhang, it trains intercultural brand experts in marketing and design. The University of Applied Sciences not only conveys theoretical knowledge of marketing and design, but also enables students to do their skills in practical projects (e.g. with companies such as Unilever,Young of Matt, Telekom, Schwarzkopf, Engel & Völkers and many more) to put them directly into action. Kleinen seminar groups enable the intensive and personal support of each individual student and create a pleasant and lively atmosphere of learning.",Private university,Brand University of Applied Sciences Lilienstraße 5-9 20095 Hamburg,+49 (0)40 380 893 56-0,info@brand-university.de
VWA and Göttingen University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/vwa-goettingen/vwa-goettingen_rectangle.jpg,,,Private academy,VWA und Berufsakademie Göttingen Königsstieg 94 37081 Göttingen,,
SRH Hochschule für Gesundheit,https://static.studycheck.de/media/images/institute_logos/rectangle/gera-fh/srh_rectangle.png,http://srh-gesundheitshochschule.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"As a private, state-recognized university in 18 Bachelor and Master's courses specialists, the SRH University of Health trains health specialists for the growth market.Over 1,300 students are enrolled at 7 campus in Thuringia, Baden-Württemberg and North Rhine-Westphalia and at 2 study centers in Lower Saxony and North Rhine-Westphalia. The SRH University of Health is part of a large network-the SRH Group.Founded in 1966 as a Heidelberg (SRH) Foundation, the SRH is a leading provider of educational and health services with a total of around 16,000 employees, which operates private universities, educational centers, schools and hospitals across Germany with 45 subsidiaries at more than 60 locations.The aim of the SRH is to improve the quality of life and the life chances of its customers.As a health college in the health company, the SRH University of Health is one of 9 universities / universities with a total of over 12,000 students.",Private university,SRH Hochschule für Gesundheit Neue Straße 28-30 07548 Gera,+49 (0)365 773407-0,info@srh-gesundheitshochschule.de
PFH – Private University of Göttingen,https://static.studycheck.de/media/images/institute_logos/rectangle/pfh-goettingen/653a1008dfdd6_pfhgoettingen.jpg,,"The PfH Private University of Applied Sciences Göttingen is a Private, State-Recognized University.The Impetus for Its Foundation in 1995 was the Idea of ​​Setting New Impulses in the Field of Science and Teaching with a Purely Privateely Financed University and Orienting the Range of Courses on The Real Needs Of The EconomySince then, the university has made an active contribution to Germany's competitive security as a science and business location.The PFH meets these requirements through consistent practical orientation, pronounced internationality and the development of innovative courses.",Private university,PFH – Private Hochschule Göttingen Weender Landstr. 3-7 37073 Göttingen,,
HBC - Biberach University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/hbc-biberach/hbc_Logo_rectangle.png,http://hochschule-biberach.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"Biberach University of Applied Sciences: The world is changing - together we can design it! Our university stands for future -oriented sustainable teaching, research and transfer as well as part -time training.Together with all university members, we want to shape the future.For this we take new ways and are looking for unusual perspectives.We invite everyone involved to actively contribute to this process with their own ideas and skills.Modern bachelor and master's programs.Flexible study models - international and strongly practice -oriented - enable an individual development path.",State university,HBC - Hochschule Biberach Karlstraße 6-11 88400 Biberach an der Riß,+49 (0)7351 582-0,info@hochschule-bc.de
Hochschule Albstadt-Sigmaringen,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-albsig/hsas_rectangle.png,http://hs-albsig.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"At the Albstadt-Sigmaringen University of Applied Sciences, over 3000 students are currently in charge at two locations in 13 Bachelor and 11 master's programs.Practice orientation is very important at the University of Applied Sciences (HAW) and modern technical devices are available for training.Technical textiles, facility management, food/nutrition/hygiene and pharmaceutical technology.",State university,Hochschule Albstadt-Sigmaringen Anton-Günther-Straße 51 72488 Sigmaringen,+49 (0)7571 732-0,info@hs-albsig.de
UMCH | University Medicine Neumarkt AM Campus Hamburg,https://static.studycheck.de/media/images/institute_logos/rectangle/umch-hamburg/umch-hamburg_rectangle.png,https://edu.umch.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The University Medical Center Neumarkt a.M. Campus Hamburg (UMCH) is a branch of the State George Emil Palade University of Medicine, Pharmacy, Natural Sciences and Technology Neumarkt am Mieresch..At the moment, more than 11,000 students at the university are enrolled.The International Medical Campus Umch is located in the huge planned university and science area Science City Hamburg Bahrenfeld.Here the students are offered a medical degree of the highest quality-Bologna-compliant, NC-free and without waiting.Our human medicine program combines research, teaching and practice and offers students first -class, international training that takes place in Germany.",State University,UMCH | Universitätsmedizin Neumarkt A. M. Campus Hamburg Albert-Einstein-Ring 11-15 22761 Hamburg,+49 40 209348500,info@edu.umch.de
Wismar University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-wismar/hs-wismar.jpg,,"The Wismar University of Applied Sciences - University of Applied Sciences, Technology, Business and Design Combines Three Modern Disciplines Under One Roof - Interdisciplinary and Practice Oriented.It is an entrepreneurial university, not only in the design of study and working condition, but so in teaching.the University of Wismar Works Closely with academic institutions and business partners in the region and around the world.This Open's Up Space for New Subject Area, Perspectives and Collaborations.",,Hochschule Wismar Philipp-Müller-Straße 14 23966 Wismar,,
Bonn-Rhein-Sieg University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-brs/hs-brs.jpg,https://www.h-brs.de/de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Bonn-Rhein-Sieg (H-BRS) University is a young, research-strong and dynamic state university.It offers around 9,500 students in almost 40 courses at their three locations ideal opportunities for learning and researching.In research, the H-BRS is at the forefront.Bachelor and master programs in English prepare for international careers.Women study in the MINT subjects in an exciting and supporting environment.The range of courses ranges from applied natural sciences and economics to computer science, engineering, sustainable social policy to technology journalism.Whether criminalist work, the fight against rare diseases, environmental safety, robotics or sustainable engineering - we stand for the promising topics.",State university,Hochschule Bonn-Rhein-Sieg Grantham-Allee 20 53757 Sankt Augustin,+49 (0) 2241 865 699,
